Id,Category
375,5
376,3
377,7
378,10
379,3
380,3
381,3
382,10
383,6
384,7
385,9
386,11
387,2
388,11
389,2
390,3
391,6
392,2
393,0
394,6
395,1
396,3
397,2
398,5
399,1
400,0
401,1
402,5
403,5
404,1
405,1
406,4
407,11
408,1
409,11
410,9
411,6
412,7
413,4
414,1
415,1
416,10
417,1
418,10
419,5
420,2
421,1
422,9
423,7
424,0
425,1
426,11
427,12
428,5
429,10
430,9
431,10
432,9
433,8
434,3
435,9
436,3
437,0
438,11
439,1
440,7
441,7
442,3
443,1
444,12
445,3
446,5
447,9
448,8
449,6
450,7
451,5
452,10
453,3
454,2
455,7
456,10
457,1
458,10
459,2
460,11
461,3
462,2
463,3
464,7
465,4
466,3
467,9
468,2
469,12
470,5
471,8
472,1
473,1
474,5
475,6
476,12
477,10
478,12
479,5
480,5
481,10
482,5
483,5
484,3
485,3
486,10
487,0
488,6
489,1
490,0
491,11
492,0
493,0
494,10
495,7
496,6
497,8
498,6
499,12
500,1
501,12
502,5
503,9
504,5
505,8
506,1
507,6
508,0
509,0
510,3
511,2
512,4
513,6
514,0
515,5
516,1
517,7
518,4
519,1
520,9
521,7
522,5
523,3
524,3
525,1
526,3
527,7
528,11
529,7
530,7
531,6
532,1
533,12
534,9
535,3
536,7
537,11
538,11
539,1
540,1
541,5
542,12
543,3
544,1
545,6
546,6
547,5
548,10
549,3
550,3
551,2
552,9
553,12
554,3
555,6
556,1
557,6
558,3
559,7
560,2
561,3
562,6
563,1
564,1
565,1
566,12
567,3
568,4
569,1
570,2
571,7
572,0
573,11
574,9
575,12
576,3
577,5
578,2
579,5
580,2
581,3
582,5
583,1
584,8
585,0
586,9
587,3
588,7
589,5
590,9
591,5
592,7
593,6
594,2
595,4
596,7
597,1
598,6
599,11
600,5
601,3
602,3
603,10
604,11
605,5
606,7
607,3
608,8
609,5
610,5
611,12
612,3
613,5
614,3
615,5
616,2
617,1
618,6
619,1
620,6
621,1
622,5
623,1
624,12
625,3
626,9
627,0
628,4
629,11
630,6
631,6
632,2
633,0
634,0
635,1
636,0
637,0
638,9
639,1
640,7
641,5
642,7
643,5
644,12
645,7
646,7
647,0
648,9
649,11
650,5
651,12
652,5
653,5
654,6
655,2
656,0
657,1
658,11
659,10
660,7
661,0
662,9
663,1
664,3
665,2
666,3
667,3
668,9
669,11
670,1
671,0
672,6
673,3
674,4
675,4
676,12
677,0
678,10
679,6
680,9
681,6
682,5
683,5
684,1
685,5
686,5
687,7
688,12
689,5
690,1
691,1
692,3
693,1
694,2
695,8
696,3
697,3
698,2
699,5
700,3
701,5
702,3
703,1
704,12
705,6
706,11
707,2
708,10
709,3
710,2
711,11
712,9
713,10
714,5
715,12
716,12
717,3
718,3
719,11
720,8
721,8
722,0
723,2
724,12
725,10
726,5
727,11
728,3
729,3
730,8
731,4
732,5
733,11
734,0
735,1
736,2
737,5
738,7
739,11
740,7
741,12
742,3
743,5
744,5
745,12
746,9
747,1
748,10
749,5
750,5
751,1
752,10
753,0
754,11
755,1
756,12
757,12
758,6
759,8
760,8
761,2
762,2
763,2
764,5
765,10
766,1
767,3
768,11
769,1
770,1
771,7
772,12
773,12
774,3
775,1
776,5
777,12
778,0
779,10
780,1
781,5
782,3
783,7
784,2
785,7
786,1
787,5
788,2
789,10
790,12
791,1
792,6
793,11
794,1
795,0
796,12
797,10
798,5
799,5
800,1
801,12
802,5
803,9
804,11
805,12
806,3
807,0
808,2
809,3
810,5
811,3
812,5
813,1
814,9
815,3
816,0
817,7
818,8
819,11
820,12
821,12
822,5
823,2
824,6
825,1
826,3
827,5
828,3
829,3
830,8
831,5
832,3
833,2
834,1
835,0
836,10
837,7
838,2
839,6
840,1
841,10
842,11
843,5
844,11
845,5
846,3
847,3
848,11
849,0
850,1
851,5
852,0
853,12
854,5
855,0
856,10
857,5
858,5
859,8
860,1
861,8
862,7
863,10
864,8
865,5
866,12
867,2
868,3
869,5
870,2
871,3
872,1
873,10
874,3
875,3
876,1
877,0
878,1
879,2
880,1
881,3
882,2
883,1
884,6
885,2
886,12
887,6
888,3
889,7
890,2
891,12
892,5
893,12
894,10
895,0
896,0
897,6
898,8
899,7
900,5
901,10
902,7
903,4
904,3
905,7
906,1
907,8
908,12
909,0
910,0
911,5
912,5
913,9
914,1
915,9
916,3
917,3
918,11
919,7
920,9
921,1
922,12
923,3
924,9
925,2
926,5
927,1
928,1
929,7
930,3
931,9
932,11
933,5
934,2
935,6
936,1
937,1
938,5
939,1
940,12
941,1
942,7
943,10
944,3
945,2
946,1
947,1
948,3
949,9
950,10
951,3
952,1
953,3
954,0
955,3
956,2
957,2
958,11
959,1
960,1
961,11
962,1
963,12
964,1
965,0
966,0
967,5
968,3
969,4
970,10
971,9
972,5
973,3
974,6
975,8
976,3
977,5
978,3
979,5
980,3
981,6
982,2
983,6
984,0
985,7
986,0
987,4
988,5
989,5
990,7
991,3
992,6
993,1
994,2
995,3
996,0
997,5
998,3
999,2
1000,5
1001,12
1002,5
1003,5
1004,10
1005,5
1006,11
1007,10
1008,3
1009,2
1010,2
1011,10
1012,3
1013,5
1014,9
1015,5
1016,0
1017,12
1018,3
1019,12
1020,5
1021,12
1022,8
1023,12
1024,5
1025,1
1026,9
1027,10
1028,2
1029,9
1030,1
1031,7
1032,2
1033,5
1034,10
1035,2
1036,3
1037,0
1038,12
1039,10
1040,8
1041,8
1042,5
1043,1
1044,12
1045,2
1046,2
1047,1
1048,3
1049,5
1050,12
1051,3
1052,1
1053,3
1054,12
1055,0
1056,11
1057,8
1058,3
1059,3
1060,2
1061,10
1062,2
1063,5
1064,9
1065,12
1066,8
1067,5
1068,2
1069,1
1070,3
1071,5
1072,0
1073,10
1074,11
1075,12
1076,5
1077,2
1078,0
1079,5
1080,12
1081,1
1082,10
1083,0
1084,7
1085,8
1086,3
1087,1
1088,12
1089,6
1090,7
1091,1
1092,5
1093,2
1094,2
1095,0
1096,6
1097,0
1098,10
1099,9
1100,12
1101,3
1102,2
1103,3
1104,5
1105,7
1106,4
1107,3
1108,3
1109,6
1110,9
1111,3
1112,1
1113,8
1114,6
1115,0
1116,12
1117,6
1118,1
1119,0
1120,12
1121,5
1122,7
1123,9
1124,3
1125,7
1126,6
1127,12
1128,5
1129,5
1130,10
1131,12
1132,0
1133,8
1134,1
1135,11
1136,0
1137,3
1138,6
1139,5
1140,10
1141,11
1142,0
1143,3
1144,12
1145,7
1146,12
1147,1
1148,10
1149,9
1150,0
1151,7
1152,12
1153,8
1154,9
1155,1
1156,0
1157,11
1158,4
1159,1
1160,10
1161,3
1162,10
1163,7
1164,12
1165,1
1166,2
1167,11
1168,3
1169,6
1170,0
1171,1
1172,3
1173,6
1174,0
1175,11
1176,1
1177,1
1178,8
1179,1
1180,8
1181,0
1182,10
1183,11
1184,1
1185,2
1186,5
1187,5
1188,5
1189,3
1190,1
1191,1
1192,12
1193,10
1194,11
1195,8
1196,3
1197,5
1198,3
1199,2
1200,8
1201,10
1202,10
1203,1
1204,9
1205,0
1206,5
1207,8
1208,1
1209,1
1210,12
1211,3
1212,7
1213,11
1214,2
1215,5
1216,1
1217,11
1218,8
1219,2
1220,7
1221,1
1222,7
1223,2
1224,1
1225,2
1226,3
1227,5
1228,12
1229,3
1230,10
1231,1
1232,2
1233,12
1234,6
1235,3
1236,5
1237,7
1238,10
1239,6
1240,3
1241,9
1242,7
1243,5
1244,3
1245,1
1246,5
1247,5
1248,9
1249,5
1250,7
1251,2
1252,1
1253,3
1254,7
1255,0
1256,6
1257,9
1258,3
1259,7
1260,1
1261,9
1262,0
1263,9
1264,10
1265,0
1266,4
1267,7
1268,4
1269,3
1270,0
1271,4
1272,9
1273,0
1274,0
1275,3
1276,1
1277,2
1278,10
1279,3
1280,1
1281,6
1282,9
1283,2
1284,3
1285,12
1286,3
1287,5
1288,1
1289,5
1290,11
1291,7
1292,0
1293,3
1294,7
1295,8
1296,3
1297,7
1298,1
1299,12
1300,11
1301,1
1302,4
1303,11
1304,2
1305,1
1306,0
1307,12
1308,7
1309,9
1310,7
1311,3
1312,3
1313,6
1314,12
1315,2
1316,7
1317,2
1318,11
1319,5
1320,1
1321,10
1322,8
1323,7
1324,3
1325,3
1326,7
1327,9
1328,7
1329,5
1330,2
1331,1
1332,2
1333,0
1334,1
1335,2
1336,9
1337,1
1338,1
1339,9
1340,0
1341,1
1342,7
1343,9
1344,1
1345,5
1346,11
1347,2
1348,1
1349,7
1350,7
1351,0
1352,11
1353,7
1354,1
1355,11
1356,4
1357,11
1358,10
1359,10
1360,3
1361,0
1362,11
1363,1
1364,5
1365,5
1366,3
1367,1
1368,3
1369,2
1370,3
1371,0
1372,1
1373,2
1374,1
1375,1
1376,6
1377,5
1378,3
1379,3
1380,1
1381,1
1382,5
1383,10
1384,9
1385,3
1386,10
1387,3
1388,0
1389,5
1390,10
1391,1
1392,2
1393,10
1394,9
1395,11
1396,11
1397,3
1398,1
1399,1
1400,3
1401,9
1402,12
1403,6
1404,11
1405,12
1406,2
1407,6
1408,1
1409,2
1410,11
1411,2
1412,6
1413,5
1414,0
1415,7
1416,5
1417,3
1418,1
1419,3
1420,12
1421,2
1422,11
1423,4
1424,8
1425,7
1426,5
1427,7
1428,11
1429,12
1430,0
1431,6
1432,5
1433,9
1434,2
1435,5
1436,12
1437,2
1438,10
1439,11
1440,2
1441,2
1442,10
1443,8
1444,2
1445,12
1446,12
1447,3
1448,7
1449,1
1450,7
1451,1
1452,2
1453,1
1454,10
1455,10
1456,7
1457,3
1458,10
1459,2
1460,2
1461,4
1462,3
1463,5
1464,3
1465,11
1466,10
1467,5
1468,1
1469,1
1470,9
1471,8
1472,12
1473,1
1474,7
1475,10
1476,2
1477,0
1478,0
1479,5
1480,9
1481,5
1482,3
1483,3
1484,0
1485,0
1486,5
1487,3
1488,7
1489,8
1490,7
1491,2
1492,1
1493,3
1494,1
1495,4
1496,12
1497,3
1498,3
1499,2
1500,6
1501,5
1502,0
1503,2
1504,3
1505,12
1506,12
1507,5
1508,1
1509,4
1510,8
1511,11
1512,7
1513,2
1514,11
1515,3
1516,1
1517,12
1518,3
1519,5
1520,11
1521,5
1522,10
1523,5
1524,6
1525,5
1526,2
1527,0
1528,9
1529,6
1530,1
1531,1
1532,3
1533,0
1534,8
1535,9
1536,3
1537,3
1538,0
1539,3
1540,1
1541,0
1542,10
1543,8
1544,5
1545,1
1546,4
1547,2
1548,5
1549,1
1550,12
1551,0
1552,10
1553,10
1554,12
1555,0
1556,1
1557,10
1558,0
1559,12
1560,7
1561,10
1562,3
1563,5
1564,1
1565,1
1566,1
1567,8
1568,6
1569,3
1570,2
1571,6
1572,3
1573,1
1574,5
1575,2
1576,0
1577,12
1578,8
1579,3
1580,12
1581,7
1582,6
1583,5
1584,7
1585,9
1586,8
1587,3
1588,6
1589,1
1590,5
1591,9
1592,1
1593,7
1594,11
1595,1
1596,5
1597,1
1598,3
1599,10
1600,9
1601,5
1602,9
1603,1
1604,1
1605,1
1606,2
1607,1
1608,10
1609,12
1610,7
1611,5
1612,2
1613,4
1614,6
1615,11
1616,3
1617,6
1618,1
1619,5
1620,12
1621,12
1622,12
1623,12
1624,3
1625,8
1626,11
1627,2
1628,2
1629,2
1630,9
1631,8
1632,1
1633,1
1634,5
1635,11
1636,6
1637,2
1638,11
1639,2
1640,5
1641,3
1642,5
1643,5
1644,6
1645,10
1646,9
1647,3
1648,7
1649,5
1650,1
1651,5
1652,1
1653,1
1654,4
1655,3
1656,5
1657,5
1658,10
1659,11
1660,1
1661,3
1662,1
1663,10
1664,1
1665,2
1666,12
1667,8
1668,9
1669,0
1670,7
1671,5
1672,7
1673,0
1674,9
1675,5
1676,1
1677,12
1678,3
1679,1
1680,3
1681,1
1682,2
1683,7
1684,9
1685,2
1686,11
1687,3
1688,10
1689,3
1690,12
1691,12
1692,3
1693,2
1694,10
1695,10
1696,10
1697,3
1698,6
1699,12
1700,12
1701,12
1702,6
1703,9
1704,11
1705,3
1706,4
1707,3
1708,7
1709,11
1710,7
1711,1
1712,7
1713,6
1714,2
1715,11
1716,10
1717,2
1718,12
1719,10
1720,3
1721,1
1722,1
1723,2
1724,1
1725,5
1726,5
1727,5
1728,3
1729,5
1730,1
1731,0
1732,9
1733,1
1734,2
1735,1
1736,1
1737,2
1738,2
1739,3
1740,11
1741,5
1742,9
1743,12
1744,1
1745,0
1746,7
1747,11
1748,1
1749,6
1750,0
1751,12
1752,0
1753,10
1754,6
1755,2
1756,12
1757,7
1758,6
1759,6
1760,3
1761,0
1762,3
1763,3
1764,10
1765,3
1766,10
1767,12
1768,2
1769,1
1770,0
1771,6
1772,2
1773,6
1774,4
1775,0
1776,12
1777,3
1778,9
1779,12
1780,11
1781,12
1782,11
1783,10
1784,3
1785,12
1786,1
1787,11
1788,3
1789,0
1790,12
1791,3
1792,7
1793,5
1794,4
1795,9
1796,1
1797,1
1798,6
1799,6
1800,10
1801,1
1802,2
1803,2
1804,10
1805,12
1806,11
1807,6
1808,10
1809,5
1810,6
1811,4
1812,12
1813,10
1814,12
1815,0
1816,8
1817,3
1818,9
1819,3
1820,3
1821,1
1822,6
1823,3
1824,12
1825,0
1826,5
1827,10
1828,9
1829,3
1830,5
1831,1
1832,7
1833,12
1834,10
1835,0
1836,8
1837,3
1838,11
1839,3
1840,7
1841,3
1842,10
1843,1
1844,12
1845,0
1846,12
1847,3
1848,4
1849,6
1850,2
1851,0
1852,6
1853,5
1854,12
1855,1
1856,3
1857,6
1858,10
1859,3
1860,3
1861,3
1862,6
1863,4
1864,1
1865,9
1866,12
1867,12
1868,7
1869,1
1870,3
1871,6
1872,5
1873,1
1874,1
1875,1
1876,5
1877,10
1878,7
1879,1
1880,12
1881,10
1882,5
1883,5
1884,11
1885,12
1886,1
1887,10
1888,12
1889,3
1890,12
1891,5
1892,7
1893,8
1894,1
1895,10
1896,4
1897,5
1898,9
1899,6
1900,12
1901,2
1902,0
1903,12
1904,3
1905,5
1906,3
1907,9
1908,12
1909,1
1910,12
1911,11
1912,1
1913,2
1914,6
1915,0
1916,1
1917,6
1918,3
1919,1
1920,3
1921,1
1922,5
1923,1
1924,5
1925,5
1926,5
1927,0
1928,5
1929,1
1930,9
1931,10
1932,2
1933,12
1934,12
1935,12
1936,0
1937,8
1938,2
1939,3
1940,12
1941,1
1942,0
1943,6
1944,3
1945,1
1946,1
1947,1
1948,1
1949,10
1950,7
1951,10
1952,11
1953,2
1954,10
1955,5
1956,0
1957,4
1958,6
1959,8
1960,5
1961,12
1962,1
1963,2
1964,8
1965,2
1966,9
1967,11
1968,8
1969,9
1970,9
1971,1
1972,9
1973,0
1974,1
1975,4
1976,0
1977,7
1978,1
1979,6
1980,0
1981,11
1982,11
1983,5
1984,5
1985,10
1986,6
1987,8
1988,9
1989,9
1990,5
1991,2
1992,0
1993,5
1994,5
1995,5
1996,1
1997,3
1998,6
1999,2
